Datetime,Happiness,Motivation,Flexibility,Strength,Endurance,Relationships
6/27/2014,8,9,4,4,4,8
6/28/2014,7,8,3,2,4,8
6/29/2014,8,9,3,3,4,9
6/30/2014,8,8,2,4,2,7
7/1/2014,6,8,2,2,2,8
7/2/2014,8,8,5,6,5,8
7/3/2014,7,4,5,8,5,5
7/4/2014,7,8,6,9,6,7
7/5/2014,7,6,5,5,5,7
7/6/2014,9,8,5,5,7,9
7/7/2014,6,7,3,3,2,6
7/8/2014,2,8,6,9,6,6
7/9/2014,7,8,5,4,9,7
7/10/2014,7,8,2,4,3,7
7/11/2014,5,6,3,3,3,4
7/12/2014,7,7,5,4,7,6
7/13/2014,8,9,5,8,5,8
7/14/2014,5,5,5,5,5,5
7/15/2014,8,8,4,7,6,7
7/16/2014,9,8,3,5,3,8
7/17/2014,9,9,4,5,8,7
7/18/2014,7,8,4,4,7,7
7/19/2014,8,9,3,6,9,8
7/20/2014,7,8,4,3,4,4
7/21/2014,7,9,2,3,3,7
7/22/2014,8,8,5,8,6,8
7/23/2014,7,7,3,5,4,6
7/24/2014,6,8,3,5,6,6
7/25/2014,5,8,3,4,3,5
7/26/2014,7,5,4,4,5,8
7/27/2014,8,9,6,5,5,9
7/28/2014,7,8,5,8,8,7
7/29/2014,6,8,3,5,4,8
7/30/2014,7,6,2,3,3,5
7/31/2014,6,6,2,4,6,7
8/1/2014,7,8,4,3,4,8
8/2/2014,7,8,4,3,8,6
8/3/2014,8,9,4,3,4,8
8/4/2014,10,9,2,3,2,8
8/5/2014,6,5,4,3,5,7
8/6/2014,5,5,4,5,7,5
8/7/2014,5,5,5,5,5,5
8/8/2014,5,5,5,5,8,5
8/9/2014,5,5,5,5,8,5
8/10/2014,8,8,4,5,7,8
8/11/2014,3,3,2,2,2,8
8/12/2014,6,9,4,3,2,7
8/13/2014,6,9,5,6,7,8
8/14/2014,5,5,5,5,5,5
8/15/2014,7,8,4,6,5,7
8/16/2014,7,9,8,9,9,6
8/17/2014,8,8,5,5,8,9
8/18/2014,7,9,4,6,7,7
8/19/2014,7,8,5,5,6,3
8/20/2014,6,4,4,4,4,4
8/21/2014,5,4,3,4,2,5
8/22/2014,7,6,5,5,5,7
8/23/2014,5,5,5,5,5,5
8/24/2014,6,4,5,5,5,6
8/25/2014,3,7,2,2,2,9
8/26/2014,7,9,5,7,5,8
8/27/2014,8,9,7,7,5,8
8/28/2014,8,9,8,7,5,9
8/29/2014,5,5,5,5,5,7
8/30/2014,7,7,4,3,7,8
8/31/2014,8,7,3,4,5,7
9/1/2014,7,7,5,5,7,8
9/2/2014,7,8,7,5,5,9
9/3/2014,6,8,5,5,6,8
9/4/2014,7,6,6,5,6,8
9/5/2014,5,5,5,5,5,5
9/6/2014,5,8,9,9,7,5
9/7/2014,4,8,5,5,7,5
9/8/2014,9,8,9,7,10,8
9/9/2014,7,8,7,7,10,7
9/10/2014,5,5,5,5,5,5
9/11/2014,8,9,10,8,10,7
9/12/2014,8,8,5,5,5,8
9/13/2014,8,8,5,5,7,7
9/14/2014,9,8,3,5,4,8
9/15/2014,9,10,7,9,10,8
9/16/2014,8,9,9,8,10,8
9/17/2014,7,9,5,4,4,8
9/18/2014,7,9,8,6,9,7
9/19/2014,7,8,8,9,7,6
9/20/2014,7,8,6,5,6,7
9/21/2014,9,9,4,5,7,9
9/22/2014,9,9,7,10,9,9
9/23/2014,8,9,9,9,9,8
9/24/2014,5,9,9,10,10,3
9/25/2014,5,8,6,4,4,2
9/26/2014,7,8,5,8,6,2
9/27/2014,7,7,2,3,3,1
9/28/2014,8,8,5,5,7,9
9/29/2014,7,9,9,10,10,9
9/30/2014,7,8,9,9,7,5
10/1/2014,7,8,10,9,9,5
10/2/2014,5,4,4,4,5,5
10/3/2014,7,7,9,9,9,5
10/4/2014,8,6,5,4,7,8
10/5/2014,8,9,4,5,4,9
10/6/2014,8,9,7,7,4,9
10/7/2014,9,9,7,8,9,9
10/8/2014,6,10,9,9,9,6
10/9/2014,5,7,8,8,7,5
10/10/2014,5,7,9,9,9,8
10/11/2014,8,7,6,5,9,9
10/12/2014,6,8,5,5,5,9
10/13/2014,5,8,7,9,7,7
10/14/2014,5,7,8,8,7,5
10/15/2014,7,7,9,9,8,6
10/16/2014,8,7,6,7,7,9
10/17/2014,8,8,8,9,8,9
10/18/2014,7,8,3,3,6,9
10/19/2014,6,8,2,2,5,8
10/20/2014,7,9,4,4,4,8
10/21/2014,8,8,3,2,2,9
10/22/2014,6,7,6,6,8,3
10/23/2014,8,8,4,2,3,3
10/24/2014,7,7,4,3,5,3
10/25/2014,7,7,5,5,10,3
10/26/2014,6,7,6,5,8,2
10/27/2014,8,8,5,3,4,5
10/28/2014,8,8,6,9,8,4
10/29/2014,8,8,4,6,5,3
10/30/2014,9,8,6,6,6,3
10/31/2014,4,8,2,2,5,4
11/1/2014,8,8,6,9,8,7
11/2/2014,8,8,6,6,7,8
11/3/2014,8,7,7,8,7,8
11/4/2014,8,8,5,6,5,8
11/5/2014,8,8,7,9,9,8
11/6/2014,8,9,8,9,9,8
11/7/2014,8,7,7,9,7,7
11/8/2014,8,7,6,6,5,9
11/9/2014,8,8,7,5,5,8
11/10/2014,7,7,6,9,7,9
11/11/2014,5,5,7,8,7,8
